#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
   3.2000000    2.1096746623e+00   -5.3937250492e-01
   6.4000000    3.9895100775e+00   -8.8528359510e-01
   9.6000000    6.2886226558e+00   -1.3349357313e+00
  12.8000000    8.0154877697e+00   -1.3519997306e+00
  16.0000000    1.0303473642e+01   -1.4982740919e+00
  19.2000000    1.2016608403e+01   -1.2317215400e+00
  22.4000000    1.4112170209e+01   -9.9517961571e-01
  25.6000000    1.5891143197e+01   -5.1305923877e-01
  28.8000000    1.7762136158e+01    6.3137924181e-02
  32.0000000    1.9560871270e+01    7.3143316229e-01
  35.2000000    2.1273960366e+01    1.5350801930e+00
  38.4000000    2.3082696075e+01    2.3421872754e+00
  41.6000000    2.4706826606e+01    3.2643012668e+00
  44.8000000    2.6503153983e+01    4.1497802287e+00
  48.0000000    2.8086096007e+01    5.0940470266e+00
  51.2000000    2.9867156386e+01    5.9864687824e+00
  54.4000000    3.1438462313e+01    6.8767942504e+00
  57.6000000    3.3224544576e+01    7.7196407811e+00
  60.8000000    3.4820000277e+01    8.4983047316e+00
  64.0000000    3.6620266513e+01    9.2582944399e+00
  67.2000000    3.8240510926e+01    9.8989318933e+00
  70.4000000    4.0072677506e+01    1.0550467717e+01
  73.6000000    4.1700949166e+01    1.1049958936e+01
  76.8000000    4.3582874085e+01    1.1575264377e+01
  80.0000000    4.5193221083e+01    1.1945621755e+01
  83.2000000    4.7140946258e+01    1.2333195278e+01
  86.4000000    4.8706850926e+01    1.2591391735e+01
  89.6000000    5.0727395423e+01    1.2841057648e+01
  92.8000000    5.2239229447e+01    1.3001372859e+01
  96.0000000    5.4331791160e+01    1.3125692883e+01
  99.2000000    5.5793724121e+01    1.3201757077e+01
 102.4000000    5.7952581238e+01    1.3224132165e+01
 105.6000000    5.9378180717e+01    1.3233037570e+01
 108.8000000    6.1596822689e+01    1.3184227601e+01
 112.0000000    6.3003227761e+01    1.3150728663e+01
 115.2000000    6.5276170864e+01    1.3066284611e+01
 118.4000000    6.6678352085e+01    1.3023670329e+01
 121.6000000    6.8998180677e+01    1.2941946607e+01
 124.8000000    7.0408961864e+01    1.2927842630e+01
 128.0000000    7.2761395000e+01    1.2889425504e+01
 131.2000000    7.4189221381e+01    1.2940178767e+01
 134.4000000    7.6552284689e+01    1.2983515638e+01
 137.6000000    7.8000829643e+01    1.3128123837e+01
 140.8000000    8.0343798149e+01    1.3285574624e+01
 144.0000000    8.1810241439e+01    1.3540684477e+01
 147.2000000    8.4098931394e+01    1.3831801078e+01
 150.4000000    8.5571163600e+01    1.4200007114e+01
 153.6000000    8.7773174884e+01    1.4626025520e+01
 156.8000000    8.9230431001e+01    1.5094951196e+01
 160.0000000    9.1319747134e+01    1.5636222111e+01
 163.2000000    9.2734693493e+01    1.6179674729e+01
 166.4000000    9.4695066730e+01    1.6796392834e+01
 169.6000000    9.6038427131e+01    1.7376643798e+01
 172.8000000    9.7863716843e+01    1.8013999525e+01
 176.0000000    9.9110618817e+01    1.8584988700e+01
 179.2000000    1.0080330098e+02    1.9181297762e+01
 182.4000000    1.0193888377e+02    1.9693346551e+01
 185.6000000    1.0350791989e+02    2.0189343707e+01
 188.8000000    1.0453095311e+02    2.0594933822e+01
 192.0000000    1.0598991867e+02    2.0942621757e+01
 195.2000000    1.0691287234e+02    2.1203252079e+01
 198.4000000    1.0827901737e+02    2.1372558394e+01
 201.6000000    1.0912545561e+02    2.1465086447e+01
 204.8000000    1.1041885945e+02    2.1447793607e+01
 208.0000000    1.1121865922e+02    2.1369607265e+01
 211.2000000    1.1246130248e+02    2.1180205579e+01
 214.4000000    1.1324558594e+02    2.0951276262e+01
 217.6000000    1.1445943745e+02    2.0625037120e+01
 220.8000000    1.1525605174e+02    2.0286609615e+01
 224.0000000    1.1646034105e+02    1.9875466996e+01
 227.2000000    1.1729112451e+02    1.9484848819e+01
 230.4000000    1.1849878206e+02    1.9051615589e+01
 233.6000000    1.1937852646e+02    1.8674175144e+01
 236.8000000    1.2059326569e+02    1.8285351564e+01
 240.0000000    1.2152960934e+02    1.7985141663e+01
 243.2000000    1.2274455090e+02    1.7703020950e+01
 246.4000000    1.2373845686e+02    1.7533598392e+01
 249.6000000    1.2493697027e+02    1.7408311404e+01
 252.8000000    1.2598308317e+02    1.7405428231e+01
 256.0000000    1.2714190534e+02    1.7467973491e+01
 259.2000000    1.2822895057e+02    1.7645030411e+01
 262.4000000    1.2932266187e+02    1.7902404934e+01
 265.6000000    1.3043424264e+02    1.8249160698e+01
 268.8000000    1.3144008849e+02    1.8682510806e+01
 272.0000000    1.3255622107e+02    1.9166868036e+01
 275.2000000    1.3345807143e+02    1.9733307524e+01
 278.4000000    1.3455772699e+02    2.0305626879e+01
 281.6000000    1.3534839237e+02    2.0943681975e+01
 284.8000000    1.3641274447e+02    2.1543000604e+01
 288.0000000    1.3709440669e+02    2.2180973016e+01
 291.2000000    1.3811005216e+02    2.2742449585e+01
 294.4000000    1.3869314079e+02    2.3308414296e+01
 297.6000000    1.3965451245e+02    2.3771231845e+01
 300.8000000    1.4015560049e+02    2.4203053393e+01
 304.0000000    1.4106581817e+02    2.4518007012e+01
 307.2000000    1.4150532272e+02    2.4771754520e+01
 310.4000000    1.4237509793e+02    2.4907702695e+01
 313.6000000    1.4277522110e+02    2.4963189646e+01
 316.8000000    1.4362015003e+02    2.4911485713e+01
 320.0000000    1.4400310130e+02    2.4774339905e+01
 323.2000000    1.4484004147e+02    2.4550500715e+01
 326.4000000    1.4522646308e+02    2.4250687947e+01
 329.6000000    1.4606992171e+02    2.3892871484e+01
 332.8000000    1.4647729779e+02    2.3480158225e+01
 336.0000000    1.4733669147e+02    2.3044429510e+01
 339.2000000    1.4777769814e+02    2.2581607150e+01
 342.4000000    1.4865602226e+02    2.2134506753e+01
 345.6000000    1.4913696823e+02    2.1689351108e+01
