#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
#       time              Source                xMom
   0.0000000    0.0000000000e+00    0.0000000000e+00
   3.2000000   -2.3604318932e-01    6.7663166455e-01
   6.4000000   -4.2261230963e-01    2.1818557891e+00
   9.6000000   -6.4829123928e-01    5.0405592314e+00
  12.8000000   -7.4004912251e-01    8.4959408536e+00
  16.0000000   -8.9656269589e-01    1.3291060883e+01
  19.2000000   -8.8572072128e-01    1.8261673875e+01
  22.4000000   -9.3416683162e-01    2.4491154446e+01
  25.6000000   -8.3243327162e-01    3.0542404125e+01
  28.8000000   -7.5960733996e-01    3.7638552636e+01
  32.0000000   -5.8001236260e-01    4.4424569620e+01
  35.2000000   -3.9037501170e-01    5.1940346994e+01
  38.4000000   -1.4002527231e-01    5.9073661909e+01
  41.6000000    1.5095405964e-01    6.6631934619e+01
  44.8000000    4.6930248540e-01    7.3731268051e+01
  48.0000000    8.4219238553e-01    8.1013351920e+01
  51.2000000    1.2237845656e+00    8.7733824424e+01
  54.4000000    1.6604778858e+00    9.4446327900e+01
  57.6000000    2.0978392091e+00    1.0046082736e+02
  60.8000000    2.5828998937e+00    1.0625816664e+02
  64.0000000    3.0676698358e+00    1.1123215492e+02
  67.2000000    3.5877663589e+00    1.1576170857e+02
  70.4000000    4.1104634041e+00    1.1936710149e+02
  73.6000000    4.6533764414e+00    1.2229212396e+02
  76.8000000    5.2040462894e+00    1.2422297661e+02
  80.0000000    5.7576016822e+00    1.2525247900e+02
  83.2000000    6.3252987915e+00    1.2524399364e+02
  86.4000000    6.8775449068e+00    1.2417096521e+02
  89.6000000    7.4497588703e+00    1.2203879762e+02
  92.8000000    7.9890056928e+00    1.1875404019e+02
  96.0000000    8.5519145514e+00    1.1441674131e+02
  99.2000000    9.0669018448e+00    1.0891951434e+02
 102.4000000    9.6058247105e+00    1.0241703830e+02
 105.6000000    1.0085929169e+01    9.4821613897e+01
 108.8000000    1.0586290747e+01    8.6321885561e+01
 112.0000000    1.1021805699e+01    7.6854079996e+01
 115.2000000    1.1470302123e+01    6.6642644774e+01
 118.4000000    1.1852763108e+01    5.5627886983e+01
 121.6000000    1.2238498215e+01    4.4088814540e+01
 124.8000000    1.2561265746e+01    3.1933511492e+01
 128.0000000    1.2876633072e+01    1.9520612719e+01
 131.2000000    1.3135424567e+01    6.6852283176e+00
 134.4000000    1.3376796760e+01   -6.1131846684e+00
 137.6000000    1.3570304082e+01   -1.9145913407e+01
 140.8000000    1.3738226049e+01   -3.1842331443e+01
 144.0000000    1.3868635846e+01   -4.4600756314e+01
 147.2000000    1.3967815330e+01   -5.6744461097e+01
 150.4000000    1.4041010672e+01   -6.8804614105e+01
 153.6000000    1.4080044701e+01   -8.0016326853e+01
 156.8000000    1.4105568447e+01   -9.1033371331e+01
 160.0000000    1.4096389238e+01   -1.0103093218e+02
 163.2000000    1.4087073730e+01   -1.1076458462e+02
 166.4000000    1.4044302671e+01   -1.1938271534e+02
 169.6000000    1.4015507951e+01   -1.2771757309e+02
 172.8000000    1.3955641348e+01   -1.3492137905e+02
 176.0000000    1.3924324549e+01   -1.4188050858e+02
 179.2000000    1.3864844908e+01   -1.4776951390e+02
 182.4000000    1.3848301244e+01   -1.5351011527e+02
 185.6000000    1.3806722684e+01   -1.5831284823e+02
 188.8000000    1.3821456534e+01   -1.6311760703e+02
 192.0000000    1.3814280673e+01   -1.6717567888e+02
 195.2000000    1.3874709327e+01   -1.7143211725e+02
 198.4000000    1.3916514020e+01   -1.7517703567e+02
 201.6000000    1.4033932312e+01   -1.7935091685e+02
 204.8000000    1.4136379617e+01   -1.8327469204e+02
 208.0000000    1.4318155616e+01   -1.8787526328e+02
 211.2000000    1.4489166774e+01   -1.9249586706e+02
 214.4000000    1.4738222758e+01   -1.9803872030e+02
 217.6000000    1.4981270835e+01   -2.0386245764e+02
 220.8000000    1.5295929655e+01   -2.1083014084e+02
 224.0000000    1.5609632984e+01   -2.1831351140e+02
 227.2000000    1.5983620112e+01   -2.2711797410e+02
 230.4000000    1.6361716950e+01   -2.3663135475e+02
 233.6000000    1.6784555138e+01   -2.4758089411e+02
 236.8000000    1.7216102625e+01   -2.5937732705e+02
 240.0000000    1.7673818091e+01   -2.7264915500e+02
 243.2000000    1.8143723875e+01   -2.8684005275e+02
 246.4000000    1.8619703991e+01   -3.0246130456e+02
 249.6000000    1.9109623312e+01   -3.1900054028e+02
 252.8000000    1.9585565120e+01   -3.3683834705e+02
 256.0000000    2.0075071323e+01   -3.5551653699e+02
 259.2000000    2.0531997773e+01   -3.7527851675e+02
 262.4000000    2.0999921605e+01   -3.9572768350e+02
 265.6000000    2.1419279730e+01   -4.1697217458e+02
 268.8000000    2.1845112814e+01   -4.3868100580e+02
 272.0000000    2.2209864620e+01   -4.6083725365e+02
 275.2000000    2.2575137377e+01   -4.8317570818e+02
 278.4000000    2.2870770480e+01   -5.0557168230e+02
 281.6000000    2.3160302168e+01   -5.2782376199e+02
 284.8000000    2.3375718455e+01   -5.4972119007e+02
 288.0000000    2.3578630866e+01   -5.7112360337e+02
 291.2000000    2.3706863472e+01   -5.9175766566e+02
 294.4000000    2.3817290925e+01   -6.1154166618e+02
 297.6000000    2.3855981003e+01   -6.3016253884e+02
 300.8000000    2.3873449303e+01   -6.4759634202e+02
 304.0000000    2.3825073052e+01   -6.6351039776e+02
 307.2000000    2.3754493608e+01   -6.7793971321e+02
 310.4000000    2.3626341336e+01   -6.9054773451e+02
 313.6000000    2.3477650497e+01   -7.0143235341e+02
 316.8000000    2.3281513355e+01   -7.1026288106e+02
 320.0000000    2.3069010361e+01   -7.1720677365e+02
 323.2000000    2.2820579572e+01   -7.2194238558e+02
 326.4000000    2.2562014502e+01   -7.2471514967e+02
 329.6000000    2.2280027176e+01   -7.2521017475e+02
 332.8000000    2.1995502668e+01   -7.2375829653e+02
 336.0000000    2.1700684344e+01   -7.2004617291e+02
